,type,count
0,Douglas C-47A (DC-3),1746
1,Douglas C-47 (DC-3),605
2,Douglas C-47B (DC-3),549
3,Junkers Ju-52/3m,432
4,Curtiss C-46A,425
5,Antonov An-2R,355
6,DHC-6 Twin Otter 300,253
7,Douglas Dakota III (DC-3),252
8,Cessna 208B Grand Caravan,246
9,Douglas Dakota IV (DC-3),195
10,Curtiss C-46D,195
11,Consolidated PBY-5A Catalina,194
12,Antonov An-2,169
13,Consolidated PBY-5 Catalina,164
14,Lisunov Li-2,154
15,Beech 200 Super King Air,154
16,Antonov An-26,130
17,Lockheed 18 Lodestar,126
18,Douglas DC-3,118
19,Boeing 727,113
20,Lisunov PS-84,109
21,Yakovlev Yak-40,109
22,Curtiss C-46F,102
23,Antonov An-2T,101
24,Douglas C-54A (DC-4),101
25,DHC-3 Otter,98
26,Consolidated C-87,98
27,Learjet 35A,89
28,Douglas DC-3C,83
29,Cessna 208 Caravan I,82
30,Avro 685 York C.1,76
31,Swearingen SA226-TC Metro II,75
32,Lockheed C-130E Hercules,74
33,Douglas C-47D (DC-3),74
34,Lockheed C-130H Hercules,71
35,Hawker Siddeley HS-748,71
36,Antonov An-24RV,70
37,DC-9-32,67
38,Fairchild C-119G Flying Boxcar,65
39,Antonov An-12BP,65
40,Antonov An-2TP,64
41,Vickers Valetta C.1,64
42,Douglas DC-6B,63
43,BN-2A Islander,62
44,Antonov An-12,61
45,Let L-410UVP,60
46,Antonov An-24B,60
47,Antonov An-12B,60
48,Cessna 208B Super Cargomaster,59
49,Curtiss C-46,59
50,Douglas DC-3A,58
51,Beech A100 King Air,58
52,DHC-6 Twin Otter 200,57
53,Fairchild C-82A Packet,56
54,Boeing KC-135A,56
55,BN-2A-21 Islander,54
56,Douglas C-54D (DC-4),54
57,Douglas R4D-5 (DC-3),54
58,Fokker F-27 Friendship 200,53
59,Douglas DC-6,53
60,Ilyushin Il-18V,52
61,Douglas DC-4,52
62,Cessna 500 Citation I,52
63,DHC-6 Twin Otter 100,51
64,Lockheed C-60A Lodestar,51
65,Fokker F-27 Friendship 600,51
66,Amiot AAC.1 (Ju-52),50
67,Fairchild C-119C Flying Boxcar,50
68,Fairchild SA227-AC Metro III,49
69,Embraer EMB-110P1 Bandeirante,48
70,Beech B200 Super King Air,48
71,Consolidated C-109,47
72,Fairchild C-123K Provider,46
73,Ilyushin Il-76TD,45
74,Antonov An-24V,45
75,Douglas C-54B (DC-4),45
76,Junkers Ju-52/3mge,44
77,Douglas C-124C Globemaster II,43
78,Cessna 550 Citation II,43
79,BN-2A-26 Islander,43
80,Lockheed C-130B Hercules,42
81,Fokker 100,41
82,Beech 1900D,41
83,Tupolev Tu-134A,41
84,Lockheed C-130A Hercules,40
85,Fairchild C-123B Provider,39
86,Lockheed L-100-30 Hercules,38
87,Antonov An-32B,38
88,Antonov An-32,37
89,Antonov An-28,36
90,Antonov An-26B,36
91,CASA C-212 Aviocar 200,35
92,DC-9-31,35
93,DHC-4A Caribou,35
94,U-1A Otter (DHC-3),34
95,Douglas C-53 Skytrooper (DC-3),34
96,Convair CV-580,34
97,Beech 99,34
98,Tupolev Tu-154M,34
99,Tupolev Tu-134,34
100,Douglas DC-4-1009,34
101,Antonov An-2P,34
102,Antonov An-12BK,33
103,DC-9,33
104,Douglas R4D-1 (DC-3),33
105,Fokker 50,33
106,PBV-1A Canso A (PBY-5A),33
